episod,total_reward
1,9.373386727775646
2,9.562601669467753
3,6.120747188601825
4,15.322654070551415
5,23.55071618703959
6,8.540497557544182
7,11.375190356269012
8,12.226106606785585
9,15.09871588852284
10,6.98933817349387
11,17.78089567656732
12,14.785809577116186
13,10.803524320833997
14,9.803691704107067
15,12.163057788136705
16,13.36353098667156
17,10.513660370267072
18,10.568383657776302
19,8.634648662856435
20,6.195527072105481
21,8.662368396285835
22,8.280133643817326
23,9.393180661475501
24,5.281494416521536
25,12.129794788623826
26,7.808640232597586
27,1.725425623076383
28,9.595118749452325
29,15.323678530773485
30,14.675508278662093
31,15.131632863264151
32,3.8987023066280244
33,3.652297734300566
34,7.905843170098116
35,9.698482677670832
36,6.805899026112257
37,11.106781801596433
38,10.49636737911661
39,9.951516847707708
40,15.677520833552702
41,20.23152593418272
42,26.415976905824195
43,10.995555750156228
44,8.311915571798469
45,7.875166771252978
46,14.399048912718197
47,3.0359439102873083
48,10.716425226370632
49,6.056580645646033
50,18.41266005273665
51,22.186621706946134
52,6.548287773735403
53,10.603131084597589
54,10.178708174385228
55,2.6547559637205573
56,9.087815133649485
57,14.128092467528138
58,-9.261975057598693
59,18.529365381924485
60,-2.194511957013116
61,-9.553857606739083
62,-11.208403410689453
63,-5.796924369338777
64,-23.272146927786853
65,-1.1821672179708003
66,-7.1876825607567305
67,13.160499145987465
68,25.59811144721329
69,7.538067981325767
70,31.234969844875884
71,9.713150559428207
72,11.778131657887574
73,2.5229693363675914
74,12.796744996550943
75,11.431610703338661
76,4.772753690610317
77,0.9188738217870949
78,6.125507423995021
79,7.635432500132399
80,14.797472292054533
81,3.906257969212586
82,9.89250514146292
83,11.670649973593697
84,10.617398962933109
85,14.982277859037453
86,16.289518193556987
87,23.39505928084262
88,27.415260126537113
89,29.770991878678885
90,12.87532274371599
91,25.645425238268245
92,23.45360163934696
93,24.665841723657792
94,19.209700254043252
95,15.054676296102723
96,13.588857975549438
97,11.566352210328478
98,0.9700680136168032
99,7.4774389988432475
100,11.028061368430127
101,15.371542770247618
102,15.842731050194107
103,4.563901511030544
104,13.189772112066482
105,13.11143731139558
106,16.36604298189813
107,12.338557785549941
108,18.71588120451184
109,9.428807359450659
110,16.81106228727032
111,17.009984067555457
112,26.33511531886812
113,19.046364210442743
114,5.65707039797805
