time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,3.4693667855373776e-08,1.5909726054464248e-06,0.40139771378913225,0.0011135501567389738,6.283130929184765,0.0,3.651566497131958e-06,0.00011879514089230588,5.046386671651562,0.04139627613335073,-0.002783630363100314,0.0,443.34777817591316,443.11899549237665,441.8434122503751,445.2436593252121
0.12000000000000001,2.096063349736464e-06,4.420074378865635e-05,0.7086944601866753,0.004072776030887404,6.283017813564513,0.0,8.025178369378742e-05,0.0016015949400939662,5.196168910314383,0.06172160157271829,-0.00014633749062345752,0.0,475.25572782827885,475.4578900907974,474.51666705045824,476.0758792986911
0.18,9.957738448208602e-06,0.0002330421459402801,1.022321619277009,0.0075717105967472165,8.26547575378811e-05,0.0,0.0001690288059732454,0.005039383857706867,5.257786648722108,0.05044747960377016,0.011642446420394553,0.0,449.1570781422751,450.1122180678315,450.820232322248,449.9105018223364
0.23999999999999996,1.633193987058765e-05,0.0006834427006317123,1.3382383131876432,0.011305207465028388,0.0006328546222693632,0.0,-1.2834565170665536e-05,0.01028145713006346,5.272698796189888,0.07898492943881841,0.0036992448970606974,0.0,436.40920588870796,435.74546406401544,434.3787958939857,436.7684435751531
0.3,3.3457863911642508e-06,0.0015213345896293994,1.655096789668148,0.01574396235920439,0.0004909933632522012,0.0,-0.00042731176498533413,0.018060586109722894,5.289169688809748,0.06139649769985552,-0.01865753301626994,0.0,437.3135304072178,435.44703589392464,437.31282441755707,435.84934693557074
0.36000000000000004,-2.7674307898140956e-05,0.002917601209220014,1.9737529865465597,0.020378653426113225,6.2825544216165135,0.0,-0.0005017367950741516,0.028877595385323685,5.332495999122932,0.09785254484152033,-0.01877899742103944,0.0,445.7033876990645,445.6935145937459,443.18172989160564,446.1729015095598
0.4200000000000001,-4.261909083850789e-05,0.005036648574568071,2.2940585350315046,0.02595376940525629,6.2810802825280305,0.0,0.00011591427620176131,0.04226675525632829,5.344289966505331,0.08057006349319686,-0.039845265630129384,0.0,436.1749447340793,434.4115738906741,436.6253401331124,435.1882238922801
0.48000000000000015,5.979750697119507e-06,0.008012387732195073,2.6134489349909313,0.030545977975632077,6.278220387958644,0.0,0.0017103070398070963,0.05731245638101351,5.302242106567587,0.06692380819282577,-0.07181227812419333,0.0,419.04270648917964,416.2521831577059,419.0712624100663,417.8881636300428
0.5400000000000001,0.0002089644391990047,0.011996337361799104,2.931358093937705,0.03457985746725445,6.274056507081896,0.0,0.00542038451051811,0.07583325377829515,5.294750960640464,0.06783906771363044,-0.06496285328342159,0.0,428.9906150452509,429.5680648961785,428.8732918121239,428.9545960774463
0.6000000000000002,0.0007334673052034218,0.017263584804064553,3.2516296338679225,0.03998185956945832,6.269685424814506,0.0,0.012463128738550298,0.10021887757772824,5.380544444169526,0.11548417353676961,-0.09736512011219842,0.0,459.94241632413343,457.3641973656832,456.4976990299981,460.2901088412311
0.6600000000000003,0.0017897773083891911,0.02414973548148569,3.577965358708725,0.04664896531215135,6.263974892540304,0.0,0.023341371494137737,0.13000689570710522,5.496722185553168,0.10053296412219015,-0.09112408946644397,0.0,468.2049494382519,468.68311698175,469.31778788375635,468.1658504518538
0.7200000000000003,0.003604978104234242,0.03293428772155715,3.9107030028768164,0.05308718136632784,6.25972269951189,0.0,0.03763268532039512,0.16342382727544613,5.594018266879807,0.11822609885044875,-0.046771591721260775,0.0,462.5957214307746,466.07123090035986,463.178304015055,464.5773387142165
0.7800000000000004,0.006276906285465438,0.043678832187505436,4.2459435244085935,0.05972475918647291,6.2571912632154,0.0,0.05165973577234235,0.19532209473728138,5.580688072442376,0.0876573932521649,-0.034322513350112674,0.0,430.17322774449474,431.2252505606582,431.5082278312056,428.93023930422083
0.8400000000000004,0.009960290699213913,0.05674050329254809,4.585227515772511,0.0650023140903997,6.2550777791791425,0.0,0.0713280372102913,0.24059600557599184,5.728001298577774,0.08855582243992759,-0.03709273040601958,0.0,480.87525149604636,480.6648925607461,479.18003074727517,479.25413985461444
0.9000000000000005,0.014893324232823692,0.07268787125394272,4.934132125817215,0.06983339411603051,6.25325096696751,0.0,0.09330723497147793,0.2915063853459727,5.901216402103763,0.05516329674949773,-0.019683027800174398,0.0,488.1590403271399,489.456379305495,490.4965327809661,488.01419054618077
0.9600000000000005,0.021024654447821065,0.09142190638366214,5.288180749157471,0.0729716995083809,6.251665854889875,0.0,0.11118633242752365,0.33324277175289474,5.900369548785735,0.04587149045935105,-0.04539684192011246,0.0,439.4867911455805,437.349594733329,438.1682472288069,437.3967450319123
1.0200000000000005,0.028230007538524327,0.11264108113358637,5.641186196438987,0.07552904336423083,6.249129539324333,0.0,0.12921355538175497,0.3742941288829255,5.866612386010928,0.035172306999929064,-0.036659882727790125,0.0,427.7525107535406,428.49498594493645,427.28827065437343,426.3760444579629
1.0800000000000005,0.03665711256928369,0.13658323417519577,5.99502982513651,0.0784135937161139,6.246719498087092,0.0,0.1518998147737201,0.42400005292661386,5.9278122650368115,0.06597159745438165,-0.04831159231055045,0.0,458.1588372437034,457.23052177471806,455.8902510102296,458.3462540164816
1.1400000000000006,0.046595991181783446,0.1637856323646389,6.3552639132262625,0.08218408425302837,6.243343970916428,0.0,0.17970058434810413,0.48310513100763025,6.079126663969147,0.05570632706773719,-0.08110622484474703,0.0,485.6857038545898,483.21716753673235,486.09145267177,485.3239200703231
